Timestamp,Temperature (°C),Humidity (%),Description
2024-08-10 20:00:01,13.39,91.0,Overcast clouds
2024-08-10 20:05:02,13.39,91.0,Overcast clouds
2024-08-10 20:10:01,13.39,91.0,Overcast clouds
2024-08-10 20:15:02,13.39,91.0,Overcast clouds
2024-08-10 20:20:01,13.39,91.0,Overcast clouds
2024-08-10 20:25:02,13.39,91.0,Overcast clouds
2024-08-10 20:30:01,12.88,93.0,Overcast clouds
2024-08-10 20:35:02,12.88,93.0,Overcast clouds
2024-08-10 20:40:01,12.88,93.0,Overcast clouds
2024-08-10 20:45:02,12.88,93.0,Overcast clouds
2024-08-10 20:50:01,12.88,93.0,Overcast clouds
2024-08-10 20:55:02,12.88,93.0,Overcast clouds
2024-08-10 21:00:01,12.88,93.0,Overcast clouds
2024-08-10 21:05:02,12.88,93.0,Overcast clouds
2024-08-10 21:10:01,12.88,93.0,Overcast clouds
2024-08-10 21:15:02,12.88,93.0,Overcast clouds
2024-08-11 14:35:02,24.67,32.0,Scattered clouds
2024-08-11 14:40:01,24.67,32.0,Scattered clouds
2024-08-11 14:45:00,24.67,32.0,Scattered clouds
2024-08-11 14:50:00,24.67,32.0,Scattered clouds
2024-08-11 14:55:01,24.67,32.0,Scattered clouds
2024-08-11 15:00:01,24.67,32.0,Scattered clouds
2024-08-11 15:05:01,24.67,32.0,Scattered clouds
2024-08-11 15:10:01,18.56,68.0,Overcast clouds
2024-08-11 15:15:01,24.67,35.0,Scattered clouds
2024-08-11 15:20:02,18.56,68.0,Overcast clouds
2024-08-11 15:25:01,24.67,35.0,Scattered clouds
2024-08-11 15:30:02,24.67,35.0,Scattered clouds
2024-08-11 15:35:02,24.67,35.0,Scattered clouds
2024-08-11 15:40:00,24.67,35.0,Scattered clouds
2024-08-11 15:45:01,24.67,35.0,Scattered clouds
2024-08-11 15:50:01,24.67,35.0,Scattered clouds
2024-08-11 15:55:01,24.67,35.0,Scattered clouds
2024-08-11 16:00:02,24.67,35.0,Scattered clouds
2024-08-11 16:05:02,24.67,35.0,Scattered clouds
2024-08-11 16:10:01,24.67,35.0,Scattered clouds
2024-08-11 16:15:02,19.8,61.0,Broken clouds
2024-08-11 16:20:02,19.8,61.0,Broken clouds
2024-08-11 16:25:01,19.8,61.0,Broken clouds
2024-08-11 16:30:57,24.67,35.0,Scattered clouds
2024-08-11 16:35:00,24.67,35.0,Scattered clouds
2024-08-11 16:40:00,24.67,35.0,Scattered clouds
2024-08-11 16:45:02,24.67,35.0,Scattered clouds
2024-08-11 16:50:01,24.67,35.0,Scattered clouds
2024-08-11 16:55:00,24.67,35.0,Scattered clouds
2024-08-11 17:00:01,24.67,35.0,Scattered clouds
2024-08-11 17:05:02,24.67,35.0,Scattered clouds
2024-08-11 17:10:02,24.67,35.0,Scattered clouds
2024-08-11 17:15:01,23.67,37.0,Few clouds
2024-08-11 17:20:01,23.67,37.0,Few clouds
2024-08-11 17:25:02,23.67,37.0,Few clouds
2024-08-11 17:30:02,23.67,37.0,Few clouds
2024-08-11 17:35:01,23.67,37.0,Few clouds
2024-08-11 17:40:00,23.67,37.0,Few clouds
2024-08-11 17:45:02,23.67,37.0,Few clouds
2024-08-11 17:49:59,23.67,37.0,Few clouds
2024-08-11 17:50:01,23.67,37.0,Few clouds
2024-08-11 17:55:01,23.67,37.0,Few clouds
2024-08-11 18:00:02,23.67,37.0,Few clouds
2024-08-11 18:05:02,23.67,37.0,Few clouds
2024-08-11 18:10:02,23.67,37.0,Few clouds
2024-08-11 18:15:01,21.67,41.0,Few clouds
2024-08-11 18:20:01,21.67,41.0,Few clouds
2024-08-11 18:25:02,21.67,41.0,Few clouds
2024-08-11 18:30:01,21.67,41.0,Few clouds
2024-08-11 18:35:02,21.67,41.0,Few clouds
2024-08-11 18:40:01,21.67,41.0,Few clouds
2024-08-11 18:45:02,21.67,41.0,Few clouds
2024-08-11 18:55:02,21.67,41.0,Few clouds
2024-08-11 19:00:00,21.67,41.0,Few clouds
2024-08-11 19:05:01,21.67,41.0,Few clouds
2024-08-11 19:10:25,13.62,90.0,Scattered clouds
2024-08-11 19:15:01,13.62,90.0,Scattered clouds
2024-08-11 19:25:01,13.62,90.0,Scattered clouds
2024-08-11 19:29:58,13.62,90.0,Scattered clouds
2024-08-11 19:30:02,13.62,90.0,Scattered clouds
2024-08-11 19:35:02,13.62,90.0,Scattered clouds
2024-08-11 19:40:01,13.03,94.0,Scattered clouds
2024-08-11 19:45:01,13.03,94.0,Scattered clouds
2024-08-11 19:46:48,13.03,94.0,Scattered clouds
2024-08-11 19:47:03,13.03,94.0,Scattered clouds
2024-08-11 19:47:22,13.03,94.0,Scattered clouds
2024-08-11 19:47:32,13.03,94.0,Scattered clouds
2024-08-11 19:50:02,13.03,94.0,Scattered clouds
2024-08-11 19:55:01,13.03,94.0,Scattered clouds
2024-08-11 20:00:02,13.03,94.0,Scattered clouds
2024-08-11 20:05:01,13.03,94.0,Scattered clouds
2024-08-11 20:10:02,13.03,94.0,Scattered clouds
2024-08-11 20:15:01,13.03,94.0,Scattered clouds
2024-08-11 20:20:02,13.03,94.0,Scattered clouds
2024-08-11 20:25:01,13.03,94.0,Scattered clouds
2024-08-11 20:30:02,13.19,92.0,Scattered clouds
2024-08-11 20:35:02,13.19,92.0,Scattered clouds
